scale,ncc,meanpat,stdpat,nlinks,fclust,rep
0.010000,1341,11.660701,37.920013,1382,0.988938,0
0.010000,1341,11.660701,37.921570,1382,0.988938,1
0.010000,1341,11.660701,37.929085,1382,0.988938,2
0.010000,1341,11.660701,37.927429,1382,0.988938,3
0.010000,1341,11.660701,37.969246,1382,0.988938,4
0.010000,1341,11.660701,37.911488,1382,0.988938,5
0.010000,1341,11.660701,37.933449,1382,0.988938,6
0.010000,1341,11.660701,38.007034,1382,0.988938,7
0.010000,1341,11.660701,37.982914,1382,0.988938,8
0.010000,1341,11.660701,37.918217,1382,0.988938,9
0.010000,1341,11.660701,37.961723,1382,0.988938,10
0.010000,1341,11.660701,37.915859,1382,0.988938,11
0.010000,1341,11.660701,37.942730,1382,0.988938,12
0.010000,1341,11.660701,37.914566,1382,0.988938,13
0.010000,1341,11.660701,37.950455,1382,0.988938,14
0.010000,1341,11.660701,37.924370,1382,0.988938,15
0.010000,1341,11.660701,37.912987,1382,0.988938,16
0.010000,1341,11.660701,37.967991,1382,0.988938,17
0.010000,1341,11.660701,38.009785,1382,0.988938,18
0.010000,1341,11.660701,37.912418,1382,0.988938,19
0.010000,1341,11.660701,37.926224,1382,0.988938,20
0.010000,1341,11.660701,37.919075,1382,0.988938,21
0.010000,1341,11.660701,37.941437,1382,0.988938,22
0.010000,1341,11.660701,37.911957,1382,0.988938,23
0.010000,1341,11.660701,37.966740,1382,0.988938,24
0.010000,1341,11.660701,37.914967,1382,0.988938,25
0.010000,1341,11.660701,37.910793,1382,0.988938,26
0.010000,1341,11.660701,37.916592,1382,0.988938,27
0.010000,1341,11.660701,38.237228,1382,0.988938,28
0.010000,1341,11.660701,37.942856,1382,0.988938,29
0.010000,1341,11.660701,37.914013,1382,0.988938,30
0.010000,1341,11.660701,37.929688,1382,0.988938,31
0.010000,1341,11.660701,37.937489,1382,0.988938,32
0.010000,1341,11.660701,37.927212,1382,0.988938,33
0.010000,1341,11.660701,37.958588,1382,0.988938,34
0.010000,1341,11.660701,37.923820,1382,0.988938,35
0.010000,1341,11.660701,37.919724,1382,0.988938,36
0.010000,1341,11.660701,37.930466,1382,0.988938,37
0.010000,1341,11.660701,37.922371,1382,0.988938,38
0.010000,1341,11.660701,37.958111,1382,0.988938,39
0.010000,1341,11.660701,37.911247,1382,0.988938,40
0.010000,1341,11.660701,37.972633,1382,0.988938,41
0.010000,1341,11.660701,37.913960,1382,0.988938,42
0.010000,1341,11.660701,37.964870,1382,0.988938,43
0.010000,1341,11.660701,37.918854,1382,0.988938,44
0.010000,1341,11.660701,37.963768,1382,0.988938,45
0.010000,1341,11.660701,37.926151,1382,0.988938,46
0.010000,1341,11.660701,37.963257,1382,0.988938,47
0.010000,1341,11.660701,37.914192,1382,0.988938,48
0.010000,1341,11.660701,37.956547,1382,0.988938,49
0.010000,1341,11.660701,37.909927,1382,0.988938,50
0.010000,1341,11.660701,37.915192,1382,0.988938,51
0.010000,1341,11.660701,37.915192,1382,0.988938,52
0.010000,1341,11.660701,37.919579,1382,0.988938,53
0.010000,1341,11.660701,37.969765,1382,0.988938,54
0.010000,1341,11.660701,37.943127,1382,0.988938,55
0.010000,1341,11.660701,37.909016,1382,0.988938,56
0.010000,1341,11.660701,37.923847,1382,0.988938,57
0.010000,1341,11.660701,37.931950,1382,0.988938,58
0.010000,1341,11.660701,37.919220,1382,0.988938,59
0.010000,1341,11.660701,38.103825,1382,0.988938,60
0.010000,1341,11.660701,37.933613,1382,0.988938,61
0.010000,1341,11.660701,37.994167,1382,0.988938,62
0.010000,1341,11.660701,37.921356,1382,0.988938,63
0.010000,1341,11.660701,37.914494,1382,0.988938,64
0.010000,1341,11.660701,37.916008,1382,0.988938,65
0.010000,1341,11.660701,37.938469,1382,0.988938,66
0.010000,1341,11.660701,37.925007,1382,0.988938,67
0.010000,1341,11.660701,37.933475,1382,0.988938,68
0.010000,1341,11.660701,39.394157,1382,0.988938,69
