scale,ncc,meanpat,stdpat,nlinks,fclust
0.01,2053,24.354603019970774,118.17577504959945,0,1.0
0.012040517722974505,2053,24.354603019970774,118.17577504959945,0,1.0
0.014497406703726323,2053,24.354603019970774,118.17577504959945,0,1.0
0.017455628235338617,2053,24.354603019970774,118.17577504959945,0,1.0
0.021017480113324882,2053,24.354603019970774,118.17577504959945,0,1.0
0.02530613417967526,2053,24.354603019970774,118.17577504959945,0,1.0
0.03046989570903508,2041,24.49779519843214,118.5101211679605,24,0.9941548952752071
0.03668733193018217,1890,26.455026455026456,126.24170710308414,332,0.9206039941548952
0.044173447031400685,1686,29.655990510083036,155.39511205577833,786,0.8212372138334145
0.05318711718664558,1466,34.106412005457024,203.06680296491,1402,0.7140769605455431
0.06404004271197279,1244,40.19292604501608,264.8863793577385,2284,0.6059425231368729
0.07710752692535532,1082,46.21072088724584,308.4004076185025,3402,0.5270336093521676
0.09284145445194744,923,54.17118093174431,373.6695792350969,5094,0.4495859717486605
0.11178591777554035,795,62.893081761006286,415.57213711593624,7316,0.3872381880175353
0.13459603241553642,681,73.42143906020559,537.4413304004436,10556,0.33170969313200194
0.1620605913741318,581,86.05851979345955,591.7499093936088,14912,0.2830004870920604
0.19512934226359632,494,101.21457489878543,671.0039297915248,20900,0.24062347783731125
0.23494583037971897,428,116.82242990654206,742.5177623110214,28708,0.20847540185094984
0.28288694346259696,373,134.04825737265415,805.7318973657553,38980,0.18168533852898197
0.3406105256359485,322,155.27950310559007,881.8611720939742,52090,0.1568436434486118
0.41011270705513003,274,182.4817518248175,965.073228961536,68318,0.13346322454943985
0.4937969317714347,229,218.34061135371178,1108.9848921291964,88092,0.11154408183146615
0.5945570708544391,192,260.4166666666667,1267.3172054799682,112062,0.09352167559668777
0.7158774948942683,155,322.5806451612903,1423.2585323643666,140912,0.0754992693619094
0.8619535664753032,122,409.8360655737705,1840.2523096818652,174430,0.05942523136872869
1.0378367193526972,96,520.8333333333334,2065.2987509209306,211478,0.046760837798343884
1.2496091412919867,73,684.931506849315,2852.2950448202146,251172,0.035557720409157334
1.504594101251712,47,1063.8297872340424,3556.74366562204,293708,0.02289332683877253
1.8116091942004133,27,1851.851851851852,5392.68787308988,338660,0.013151485630784217
2.181271260987366,14,3571.4285714285716,9608.132854992362,382276,0.006819288845591817
2.6263635276533326,9,5555.555555555556,12876.840857490466,430948,0.00438382854359474
3.1622776601683795,3,16666.666666666668,23563.862166933122,494658,0.0014612761811982464
