,t,p,v,replicate,alpha,error
0,10000,2.0,0.0,0,-1.79148,293.2969
0,10000,2.0,0.025,0,-2.10954,232.6877
0,10000,2.0,0.05,0,-1.91819,93.8302
0,10000,2.0,0.075,0,-1.73938,44.5119
0,10000,2.0,0.1,0,-1.68517,37.0821
0,10000,2.0,0.125,0,-1.57636,20.3966
0,10000,2.0,0.15,0,-1.47168,9.5753
0,10000,2.0,0.175,0,-1.43354,10.7159
0,10000,2.0,0.2,0,-1.38993,6.4749
0,10000,2.0,0.225,0,-1.35969,7.1691
0,10000,2.0,0.25,0,-1.30975,5.4653
0,10000,2.0,0.275,0,-1.28267,3.9532
0,10000,2.0,0.3,0,-1.26012,3.9263
0,10000,2.0,0.325,0,-1.2346,3.6087
0,10000,2.0,0.35,0,-1.25615,4.5767
0,10000,2.0,0.375,0,-1.21441,3.5715
0,10000,2.0,0.4,0,-1.19056,2.6804
0,10000,2.0,0.425,0,-1.15588,2.1688
0,10000,2.0,0.45,0,-1.16231,2.4135
0,10000,2.0,0.475,0,-1.1508,2.0233
0,10000,2.0,0.5,0,-1.09538,1.4648
0,10000,2.1,0.0,0,-2.01656,353.9974
0,10000,2.1,0.025,0,-2.23947,304.085
0,10000,2.1,0.05,0,-1.93815,87.6066
0,10000,2.1,0.075,0,-1.81212,60.835
0,10000,2.1,0.1,0,-1.65549,30.25
0,10000,2.1,0.125,0,-1.52795,11.0444
0,10000,2.1,0.15,0,-1.56653,22.7693
0,10000,2.1,0.175,0,-1.40764,8.165
0,10000,2.1,0.2,0,-1.39743,8.3046
0,10000,2.1,0.225,0,-1.34206,5.5757
0,10000,2.1,0.25,0,-1.36201,7.7581
0,10000,2.1,0.275,0,-1.2789,4.3992
0,10000,2.1,0.3,0,-1.27873,4.3108
0,10000,2.1,0.325,0,-1.23786,3.4336
0,10000,2.1,0.35,0,-1.22924,3.5686
0,10000,2.1,0.375,0,-1.20541,3.0331
0,10000,2.1,0.4,0,-1.20422,3.1266
0,10000,2.1,0.425,0,-1.18478,2.6605
0,10000,2.1,0.45,0,-1.1819,2.7437
0,10000,2.1,0.475,0,-1.16017,2.4585
0,10000,2.1,0.5,0,-1.14934,2.144
