,t,p,v,replicate,alpha,error
0,10000,1.0,0.5,0,-1.01715,1.1384
0,10000,1.0,0.525,0,-0.99418,0.9394
0,10000,1.0,0.55,0,-0.98729,0.8585
0,10000,1.0,0.575,0,-0.96841,0.7455
0,10000,1.0,0.6,0,-0.95189,0.6393
0,10000,1.0,0.625,0,-0.96249,0.7169
0,10000,1.0,0.65,0,-0.94545,0.6329
0,10000,1.0,0.675,0,-0.93058,0.5859
0,10000,1.0,0.7,0,-0.92599,0.5553
0,10000,1.0,0.725,0,-0.90895,0.4309
0,10000,1.0,0.75,0,-0.90385,0.4513
0,10000,1.0,0.775,0,-0.88786,0.4041
0,10000,1.0,0.8,0,-0.87984,0.3519
0,10000,1.0,0.825,0,-0.87655,0.3713
0,10000,1.0,0.85,0,-0.86082,0.3217
0,10000,1.0,0.875,0,-0.85539,0.3084
0,10000,1.0,0.9,0,-0.84563,0.2961
0,10000,1.0,0.925,0,-0.83339,0.2786
0,10000,1.0,0.95,0,-0.83147,0.2509
0,10000,1.0,0.975,0,-0.8326,0.2361
0,10000,1.0,1.0,0,-0.81704,0.2356
0,10000,1.1,0.5,0,-1.02605,1.1462
0,10000,1.1,0.525,0,-1.00925,1.023
0,10000,1.1,0.55,0,-0.99819,0.9498
0,10000,1.1,0.575,0,-0.97914,0.7621
0,10000,1.1,0.6,0,-0.97967,0.8566
0,10000,1.1,0.625,0,-0.95806,0.6745
0,10000,1.1,0.65,0,-0.93633,0.5287
0,10000,1.1,0.675,0,-0.93883,0.582
0,10000,1.1,0.7,0,-0.93559,0.5739
0,10000,1.1,0.725,0,-0.93158,0.5754
0,10000,1.1,0.75,0,-0.91406,0.481
0,10000,1.1,0.775,0,-0.90841,0.4577
0,10000,1.1,0.8,0,-0.89893,0.4359
0,10000,1.1,0.825,0,-0.89555,0.408
0,10000,1.1,0.85,0,-0.87577,0.3071
0,10000,1.1,0.875,0,-0.868,0.3294
0,10000,1.1,0.9,0,-0.86207,0.3091
0,10000,1.1,0.925,0,-0.85106,0.2871
0,10000,1.1,0.95,0,-0.85807,0.3063
0,10000,1.1,0.975,0,-0.83418,0.2212
0,10000,1.1,1.0,0,-0.82497,0.2369
0,10000,1.2,0.5,0,-1.04208,1.2129
0,10000,1.2,0.525,0,-1.03897,1.2081
0,10000,1.2,0.55,0,-1.01397,1.0649
0,10000,1.2,0.575,0,-1.01715,1.0789
0,10000,1.2,0.6,0,-0.98934,0.8068
0,10000,1.2,0.625,0,-0.98506,0.8356
0,10000,1.2,0.65,0,-0.96317,0.6135
0,10000,1.2,0.675,0,-0.95989,0.7012
0,10000,1.2,0.7,0,-0.95759,0.6682
0,10000,1.2,0.725,0,-0.93282,0.4829
0,10000,1.2,0.75,0,-0.93809,0.5682
0,10000,1.2,0.775,0,-0.91668,0.5054
0,10000,1.2,0.8,0,-0.91533,0.4806
0,10000,1.2,0.825,0,-0.90099,0.4398
0,10000,1.2,0.85,0,-0.88825,0.3904
0,10000,1.2,0.875,0,-0.88336,0.3565
0,10000,1.2,0.9,0,-0.87811,0.3732
0,10000,1.2,0.925,0,-0.85183,0.2637
0,10000,1.2,0.95,0,-0.86505,0.2823
0,10000,1.2,0.975,0,-0.84784,0.2837
0,10000,1.2,1.0,0,-0.84146,0.2324
0,10000,1.3,0.5,0,-1.05072,1.3163
0,10000,1.3,0.525,0,-1.04548,1.2651
0,10000,1.3,0.55,0,-1.03003,1.0935
0,10000,1.3,0.575,0,-1.02261,1.1113
0,10000,1.3,0.6,0,-0.99999,0.8757
0,10000,1.3,0.625,0,-0.97686,0.6767
0,10000,1.3,0.65,0,-1.00076,0.9004
0,10000,1.3,0.675,0,-0.97109,0.7412
0,10000,1.3,0.7,0,-0.95924,0.6106
0,10000,1.3,0.725,0,-0.94801,0.6316
0,10000,1.3,0.75,0,-0.94594,0.6176
0,10000,1.3,0.775,0,-0.91867,0.4166
0,10000,1.3,0.8,0,-0.91966,0.4916
0,10000,1.3,0.825,0,-0.91767,0.4352
0,10000,1.3,0.85,0,-0.89937,0.4027
0,10000,1.3,0.875,0,-0.89006,0.3483
0,10000,1.3,0.9,0,-0.90159,0.404
0,10000,1.3,0.925,0,-0.88855,0.3691
0,10000,1.3,0.95,0,-0.87601,0.341
0,10000,1.3,0.975,0,-0.8544,0.2394
0,10000,1.3,1.0,0,-0.84986,0.2662
0,10000,1.4,0.5,0,-1.08344,1.6304
0,10000,1.4,0.525,0,-1.04594,1.1823
0,10000,1.4,0.55,0,-1.04303,1.1566
0,10000,1.4,0.575,0,-1.01995,0.9316
0,10000,1.4,0.6,0,-0.99556,0.7367
0,10000,1.4,0.625,0,-1.00611,0.9468
0,10000,1.4,0.65,0,-1.00146,0.8119
0,10000,1.4,0.675,0,-0.98244,0.8466
0,10000,1.4,0.7,0,-0.97393,0.7111
0,10000,1.4,0.725,0,-0.96366,0.6192
0,10000,1.4,0.75,0,-0.96532,0.6556
0,10000,1.4,0.775,0,-0.9575,0.6284
0,10000,1.4,0.8,0,-0.94135,0.5356
0,10000,1.4,0.825,0,-0.92052,0.4631
0,10000,1.4,0.85,0,-0.91303,0.4329
0,10000,1.4,0.875,0,-0.90543,0.3875
0,10000,1.4,0.9,0,-0.90616,0.4183
0,10000,1.4,0.925,0,-0.90022,0.3524
0,10000,1.4,0.95,0,-0.88643,0.3568
0,10000,1.4,0.975,0,-0.87572,0.3206
0,10000,1.4,1.0,0,-0.88068,0.366
0,10000,1.5,0.5,0,-1.06337,1.3729
0,10000,1.5,0.525,0,-1.08441,1.6591
0,10000,1.5,0.55,0,-1.06799,1.3486
0,10000,1.5,0.575,0,-1.00941,0.8061
0,10000,1.5,0.6,0,-1.03544,0.9919
0,10000,1.5,0.625,0,-1.03062,1.1417
0,10000,1.5,0.65,0,-1.00941,0.9349
0,10000,1.5,0.675,0,-1.00199,0.8995
0,10000,1.5,0.7,0,-0.97871,0.7162
0,10000,1.5,0.725,0,-0.98793,0.8224
0,10000,1.5,0.75,0,-0.95601,0.6032
0,10000,1.5,0.775,0,-0.96466,0.6904
0,10000,1.5,0.8,0,-0.93178,0.4521
0,10000,1.5,0.825,0,-0.93873,0.509
0,10000,1.5,0.85,0,-0.92581,0.4482
0,10000,1.5,0.875,0,-0.93119,0.5138
0,10000,1.5,0.9,0,-0.91714,0.4633
0,10000,1.5,0.925,0,-0.90247,0.372
0,10000,1.5,0.95,0,-0.90146,0.3842
