Long,Lat
-73.7976,40.7498
-122.4449,37.7558
-73.8662,40.8501
-73.8662,40.8501
-84.506,39.1413
-73.7976,40.7498
-71.0852,42.3188
-75.1339,40.0077
-73.9249,40.6943
-75.1339,40.0077
-75.29814645175257,39.67842658132777
-75.1339,40.0077
-122.65,45.5371
-71.0852,42.3188
-75.1339,40.0077
-80.2101,25.784
-84.506,39.1413
-73.9249,40.6943
-84.506,39.1413
-122.4449,37.7558
-73.7976,40.7498
-122.65,45.5371
-73.9249,40.6943
-123.51337967837925,44.41442867612536
-118.4068,34.1141
-118.4068,34.1141
-73.8662,40.8501
-75.1339,40.0077
-121.848,37.3012
-73.9496,40.6501
-73.74934515876829,40.77595071325114
-78.67247639571067,37.29085007035122
-73.7976,40.7498
-75.29814645175257,39.67842658132777
-73.8678566213633,40.70144569966719
-75.1339,40.0077
-73.8662,40.8501
-122.65,45.5371
-73.8662,40.8501
-121.848,37.3012
-71.0852,42.3188
-73.92385803073412,40.91711177287601
-84.506,39.1413
-122.65,45.5371
-122.4449,37.7558
-73.8662,40.8501
-122.65,45.5371
-122.65,45.5371
-73.8662,40.8501
-73.8662,40.8501
-73.8662,40.8501
-72.55573607840779,42.477648397693855
-79.9763,40.4397
-73.7976,40.7498
-72.55573607840779,42.477648397693855
-123.51337967837925,44.41442867612536
-73.9249,40.6943
-122.65,45.5371
-84.05978025036974,38.7897257838337
-73.8662,40.8501
-82.9855,39.9862
-73.8190786698615,41.015818787223985
-74.22639489244445,40.77330377441117
-73.9496,40.6501
-73.9249,40.6943
-71.0852,42.3188
-123.44417955787337,44.513005779684065
-123.44417955787337,44.513005779684065
-84.506,39.1413
-73.69079536176535,40.794510009360984
-122.4449,37.7558
-112.0892,33.5722
-73.8662,40.8501
-73.85390271258811,40.79265959288989
-122.4449,37.7558
-73.92385803073412,40.91711177287601
-84.05978025036974,38.7897257838337
-122.4449,37.7558
-122.4449,37.7558
-112.0892,33.5722
-73.69079536176535,40.794510009360984
-84.422,33.7628
-74.32902653431337,41.22727588760217
-122.4449,37.7558
-84.05978025036974,38.7897257838337
-82.9855,39.9862
-84.506,39.1413
-74.32902653431337,41.22727588760217
-80.2101,25.784
-122.65,45.5371
-84.05978025036974,38.7897257838337
-73.80919107391745,40.928204767925344
-123.44417955787337,44.513005779684065
-73.8662,40.8501
-122.65,45.5371
-122.65,45.5371
-75.1339,40.0077
-73.9662,40.7834
-117.3949,33.9381
-79.9763,40.4397
-122.4449,37.7558
-84.23989041169332,39.225013660537144
-121.848,37.3012
-122.65,45.5371
-123.51337967837925,44.41442867612536
-123.44417955787337,44.513005779684065
-73.80919107391745,40.928204767925344
-118.4068,34.1141
-122.4449,37.7558
-121.848,37.3012
-73.69079536176535,40.794510009360984
-121.848,37.3012
-87.6866,41.8375
-84.23989041169332,39.225013660537144
-70.6535683535729,41.70546843510851
-97.7522,30.3005
-73.46011274670443,40.78804506528261
-75.1339,40.0077
-73.8662,40.8501
-122.65,45.5371
-73.8662,40.8501
-122.4449,37.7558
-79.9763,40.4397
-83.1024,42.3834
-73.8662,40.8501
-84.422,33.7628
-72.55573607840779,42.477648397693855
-122.4449,37.7558
-123.40028115260706,44.446051313290425
-118.4068,34.1141
-73.9496,40.6501
-70.6535683535729,41.70546843510851
-73.8190786698615,41.015818787223985
-75.21794309287853,39.996942849951054
-122.4449,37.7558
-122.56853245701838,45.70421591738122
-121.848,37.3012
-74.1863554623568,40.771785409714354
-73.8662,40.8501
