,t,p,v,replicate,alpha,error
0,10000,3.0,0.0,0,-1.75405,259.9211
0,10000,3.0,0.025,0,-2.42628,515.7066
0,10000,3.0,0.05,0,-1.89741,73.6468
0,10000,3.0,0.075,0,-1.80833,45.5921
0,10000,3.0,0.1,0,-1.75252,45.6847
0,10000,3.0,0.125,0,-1.70878,43.6343
0,10000,3.0,0.15,0,-1.6506,29.1949
0,10000,3.0,0.175,0,-1.57114,19.1682
0,10000,3.0,0.2,0,-1.50491,13.8494
0,10000,3.0,0.225,0,-1.47809,13.404
0,10000,3.0,0.25,0,-1.4278,6.4178
0,10000,3.0,0.275,0,-1.37522,7.8875
0,10000,3.0,0.3,0,-1.31105,4.2425
0,10000,3.0,0.325,0,-1.31375,5.5954
0,10000,3.0,0.35,0,-1.29532,3.4529
0,10000,3.0,0.375,0,-1.27043,3.6523
0,10000,3.0,0.4,0,-1.23163,2.3781
0,10000,3.0,0.425,0,-1.21823,2.5907
0,10000,3.0,0.45,0,-1.20958,2.7535
0,10000,3.0,0.475,0,-1.20845,2.4047
0,10000,3.0,0.5,0,-1.21804,2.7935
0,10000,3.1,0.0,0,-2.33325,720.5297
0,10000,3.1,0.025,0,-2.33298,481.8399
0,10000,3.1,0.05,0,-2.05774,146.5278
0,10000,3.1,0.075,0,-1.89602,73.5978
0,10000,3.1,0.1,0,-1.67038,19.8597
0,10000,3.1,0.125,0,-1.61735,18.1696
0,10000,3.1,0.15,0,-1.61708,24.0696
0,10000,3.1,0.175,0,-1.48315,9.2356
0,10000,3.1,0.2,0,-1.42814,6.8604
0,10000,3.1,0.225,0,-1.47271,10.8154
0,10000,3.1,0.25,0,-1.35093,4.1985
0,10000,3.1,0.275,0,-1.40169,8.8382
0,10000,3.1,0.3,0,-1.34735,6.7066
0,10000,3.1,0.325,0,-1.32897,5.5176
0,10000,3.1,0.35,0,-1.25882,2.6531
0,10000,3.1,0.375,0,-1.2572,2.5758
0,10000,3.1,0.4,0,-1.24811,2.875
0,10000,3.1,0.425,0,-1.23717,2.7402
0,10000,3.1,0.45,0,-1.20145,1.9925
0,10000,3.1,0.475,0,-1.20833,2.5086
0,10000,3.1,0.5,0,-1.14395,0.7041
0,10000,3.2,0.0,0,-1.93986,330.5772
0,10000,3.2,0.025,0,-2.35452,451.8705
0,10000,3.2,0.05,0,-2.03523,119.4064
0,10000,3.2,0.075,0,-1.83907,54.6752
0,10000,3.2,0.1,0,-1.73684,36.2587
0,10000,3.2,0.125,0,-1.66203,26.864
0,10000,3.2,0.15,0,-1.58894,18.2647
0,10000,3.2,0.175,0,-1.61871,25.7806
0,10000,3.2,0.2,0,-1.4833,12.4839
0,10000,3.2,0.225,0,-1.40151,7.0881
0,10000,3.2,0.25,0,-1.41846,7.1575
0,10000,3.2,0.275,0,-1.38428,5.6953
0,10000,3.2,0.3,0,-1.38787,7.0496
0,10000,3.2,0.325,0,-1.30794,3.2743
0,10000,3.2,0.35,0,-1.28533,3.2583
0,10000,3.2,0.375,0,-1.29317,4.6651
0,10000,3.2,0.4,0,-1.28688,4.7242
0,10000,3.2,0.425,0,-1.26396,3.2322
0,10000,3.2,0.45,0,-1.24661,3.6541
0,10000,3.2,0.475,0,-1.19281,2.1609
0,10000,3.2,0.5,0,-1.19425,2.2854
0,10000,3.3,0.0,0,-1.93162,364.4136
0,10000,3.3,0.025,0,-2.39563,513.0826
0,10000,3.3,0.05,0,-2.16207,242.429
0,10000,3.3,0.075,0,-1.98252,146.8127
0,10000,3.3,0.1,0,-1.80112,55.4205
0,10000,3.3,0.125,0,-1.74645,39.5538
0,10000,3.3,0.15,0,-1.64699,26.8748
0,10000,3.3,0.175,0,-1.47781,8.2497
0,10000,3.3,0.2,0,-1.45437,9.6382
0,10000,3.3,0.225,0,-1.3919,5.0646
0,10000,3.3,0.25,0,-1.38375,5.0485
0,10000,3.3,0.275,0,-1.3632,5.6309
0,10000,3.3,0.3,0,-1.33333,5.1556
0,10000,3.3,0.325,0,-1.30106,2.7543
0,10000,3.3,0.35,0,-1.31984,4.4518
0,10000,3.3,0.375,0,-1.27179,3.917
0,10000,3.3,0.4,0,-1.24474,2.3976
0,10000,3.3,0.425,0,-1.2347,2.7036
0,10000,3.3,0.45,0,-1.24171,2.7194
0,10000,3.3,0.475,0,-1.20875,2.3823
0,10000,3.3,0.5,0,-1.20331,2.1291
0,10000,3.4,0.0,0,-2.13761,325.9884
0,10000,3.4,0.025,0,-2.31976,351.2198
0,10000,3.4,0.05,0,-2.07926,140.3772
0,10000,3.4,0.075,0,-1.92124,72.4536
0,10000,3.4,0.1,0,-1.78602,46.3354
0,10000,3.4,0.125,0,-1.67313,23.8939
0,10000,3.4,0.15,0,-1.6602,26.7116
0,10000,3.4,0.175,0,-1.56594,15.3462
0,10000,3.4,0.2,0,-1.5256,12.4008
0,10000,3.4,0.225,0,-1.46133,9.725
0,10000,3.4,0.25,0,-1.39356,5.1813
0,10000,3.4,0.275,0,-1.37733,5.5
0,10000,3.4,0.3,0,-1.30947,3.9364
0,10000,3.4,0.325,0,-1.3302,5.3091
0,10000,3.4,0.35,0,-1.28927,4.3641
0,10000,3.4,0.375,0,-1.26684,1.9019
0,10000,3.4,0.4,0,-1.27394,3.057
0,10000,3.4,0.425,0,-1.2616,3.1285
0,10000,3.4,0.45,0,-1.21012,1.6641
0,10000,3.4,0.475,0,-1.17788,1.0247
0,10000,3.4,0.5,0,-1.1886,2.376
0,10000,3.5,0.0,0,-1.81363,288.255
0,10000,3.5,0.025,0,-2.2915,356.9757
0,10000,3.5,0.05,0,-2.13224,162.0121
0,10000,3.5,0.075,0,-1.9157,76.7947
0,10000,3.5,0.1,0,-1.84171,55.1565
0,10000,3.5,0.125,0,-1.66531,19.8275
0,10000,3.5,0.15,0,-1.56524,15.0703
0,10000,3.5,0.175,0,-1.591,20.1669
0,10000,3.5,0.2,0,-1.57843,21.9466
