,t,p,v,replicate,Omega,D
0,1,3,0.9997000449955004,21,1.0,1
0,2,3,0.9994001799640054,21,0.9090909090909091,2
0,3,3,0.9991004048785274,21,0.8333333333333334,3
0,4,3,0.9988007197120864,21,0.7692307692307693,4
0,5,3,0.9985011244377109,21,0.7142857142857143,4
0,6,3,0.9982016190284373,21,0.6833333333333333,5
0,7,3,0.99790220345731,21,0.640625,5
0,8,3,0.9976028776973818,21,0.6176470588235294,6
0,9,3,0.9973036417217132,21,0.5833333333333334,6
0,11,3,0.9967054390154381,21,0.5375,8
0,12,3,0.9964064722309933,21,0.5119047619047619,9
0,13,3,0.9961075951231319,21,0.48863636363636365,9
0,15,3,0.9955101098295706,21,0.46875,9
0,17,3,0.9949129829196596,21,0.4519230769230769,9
0,19,3,0.9943162141784333,21,0.42857142857142855,10
0,21,3,0.9937198033910547,21,0.4083333333333333,11
0,23,3,0.9931237503428162,21,0.3984375,12
0,26,3,0.9922303410619892,21,0.37142857142857144,14
0,29,3,0.9913377354877926,21,0.34868421052631576,15
0,33,3,0.9901488436829572,21,0.3333333333333333,16
0,36,3,0.9892581106136482,21,0.31666666666666665,19
0,41,3,0.9877753358068531,21,0.295,22
0,45,3,0.9865907163177327,21,0.2837209302325581,22
0,51,3,0.9848164503467863,21,0.2719665271966527,25
0,57,3,0.9830453751820007,21,0.2661596958174905,25
0,63,3,0.9812774850850906,21,0.2578397212543554,27
0,70,3,0.9792189645694596,21,0.2571428571428571,27
0,79,3,0.9765786394080872,21,0.25142857142857145,28
0,88,3,0.9739454335093212,21,0.24611398963730569,30
0,98,3,0.9710279755837746,21,0.24413145539906103,32
0,109,3,0.9678288647004981,21,0.2404255319148936,34
0,122,3,0.9640616829075641,21,0.23416506717850288,36
0,136,3,0.9600211149716509,21,0.22434782608695653,42
0,152,3,0.955424055389136,21,0.22065727699530516,46
0,170,3,0.950278670532427,21,0.2222222222222222,46
0,189,3,0.9448774900983175,21,0.21882951653944022,51
0,211,3,0.9386618328952578,21,0.21444954128440366,55
0,236,3,0.9316482031364975,21,0.2121524201853759,60
0,263,3,0.924132333057885,21,0.20984215413184773,65
0,293,3,0.915852457389955,21,0.20986622073578595,69
0,327,3,0.9065582433966389,21,0.20617005267118135,77
0,365,3,0.896282164362109,21,0.20568335588633288,82
0,407,3,0.8850598580913712,21,0.2030487804878049,89
0,454,3,0.8726680814179105,21,0.20273972602739726,96
0,507,3,0.8589023862078476,21,0.1987179487179487,107
0,566,3,0.8438335664341242,21,0.1958351794417368,120
0,631,3,0.8275382079893933,21,0.19129392971246006,135
0,704,3,0.8096121282623018,21,0.18994614003590665,147
0,785,3,0.7901756630088093,21,0.18713639301874596,163
0,876,3,0.7688956610664855,21,0.1851528384279476,174
0,977,3,0.7459475422131381,21,0.18031496062992125,196
0,1090,3,0.721083743026607,21,0.17752596789423986,217
0,1216,3,0.6943355040930131,21,0.17237710151095978,244
0,1357,3,0.6655776292106012,21,0.1690330007674597,263
0,1513,3,0.6351462446947723,21,0.16692586832555728,285
0,1688,3,0.602661258781,21,0.16420003115750118,304
0,1883,3,0.5684169856141117,21,0.1591802358225716,344
0,2101,3,0.5324320474308297,21,0.1543717575604201,383
0,2344,3,0.4949987706261828,21,0.1507302601551803,414
0,2614,3,0.4564847435443024,21,0.14627111660486197,449
0,2916,3,0.4169454004202404,21,0.14096957290406625,487
0,3253,3,0.3768530331620348,21,0.13485320097585599,528
0,3629,3,0.3366538593746406,21,0.1273778724699437,584
0,4048,3,0.29688809372110747,21,0.11988424968995452,633
0,4516,3,0.25799888907000595,21,0.11287005297600498,689
0,5037,3,0.22066711058516786,21,0.10634938536145258,740
0,5619,3,0.1853146662768882,21,0.09864258011839151,809
0,6268,3,0.15252908192016215,21,0.09187442289935364,869
0,6992,3,0.12275067663761144,21,0.08401253918495298,943
0,7799,3,0.09635654085713943,21,0.07740300990698026,1005
0,8700,3,0.07353454376305711,21,0.07029191334998802,1070
0,9705,3,0.0543940775289511,21,0.0635313786804545,1136
0,10826,3,0.038859604991383925,21,0.05665238455291383,1211
0,12076,3,0.02670778988863032,21,0.050556962025316454,1279
0,13470,3,0.01757988373901181,21,0.0451062467119559,1340
0,15026,3,0.011022683423996628,21,0.03980500299518704,1409
0,16762,3,0.006547971316373659,21,0.03523489932885906,1467
0,18697,3,0.003664365803330976,21,0.030815293266723855,1531
0,20857,3,0.0019167964540059799,21,0.026919227152779883,1595
0,23265,3,0.0009307684711138365,21,0.02349516155486305,1653
0,25952,3,0.00041567784864626165,21,0.02052273258891748,1707
0,28949,3,0.0001691541717535011,21,0.01790108404087876,1759
0,32293,3,6.202952975106532e-05,21,0.015521197007481297,1818
0,36022,3,2.02653100139906e-05,21,0.013550257095937615,1864
0,40182,3,5.8177323658873e-06,21,0.011854709200513246,1905
0,44823,3,1.4457244681475616e-06,21,0.010171213000580383,1972
0,49999,3,3.05994104964958e-07,21,0.008789317197850921,2026
