,t,p,v,replicate,alpha,error
0,10000,1.5,0.05,0,-1.911,121.3136
0,10000,1.5,0.075,0,-1.68171,37.9019
0,10000,1.5,0.1,0,-1.5834,26.2503
0,10000,1.5,0.125,0,-1.54721,22.8509
0,10000,1.5,0.15,0,-1.41358,12.0902
0,10000,1.5,0.175,0,-1.37293,8.5836
0,10000,1.5,0.2,0,-1.35868,8.1709
0,10000,1.5,0.225,0,-1.32393,7.1591
0,10000,1.5,0.25,0,-1.29295,5.412
0,10000,1.5,0.275,0,-1.25237,4.5565
0,10000,1.5,0.3,0,-1.2208,3.7289
0,10000,1.5,0.325,0,-1.20247,3.0845
0,10000,1.5,0.35,0,-1.20468,3.6439
0,10000,1.5,0.375,0,-1.16723,2.8155
0,10000,1.5,0.4,0,-1.12993,1.9952
0,10000,1.5,0.425,0,-1.13927,2.3696
0,10000,1.5,0.45,0,-1.11087,1.8154
0,10000,1.5,0.475,0,-1.10168,1.6897
0,10000,1.5,0.5,0,-1.08474,1.6204
0,10000,1.6,0.0,0,-1.65276,215.799
0,10000,1.6,0.025,0,-2.12283,244.5829
0,10000,1.6,0.05,0,-1.92506,122.0796
0,10000,1.6,0.075,0,-1.79315,68.4307
0,10000,1.6,0.1,0,-1.59883,27.1056
0,10000,1.6,0.125,0,-1.50951,17.8874
0,10000,1.6,0.15,0,-1.48764,17.326
0,10000,1.6,0.175,0,-1.47282,14.4208
0,10000,1.6,0.2,0,-1.30217,4.3553
0,10000,1.6,0.225,0,-1.3425,7.6018
0,10000,1.6,0.25,0,-1.29428,5.5358
0,10000,1.6,0.275,0,-1.23,3.3662
0,10000,1.6,0.3,0,-1.20826,2.2834
0,10000,1.6,0.325,0,-1.2058,2.9544
0,10000,1.6,0.35,0,-1.17613,2.9739
0,10000,1.6,0.375,0,-1.14998,2.0182
0,10000,1.6,0.4,0,-1.18539,3.1748
0,10000,1.6,0.425,0,-1.13142,1.8303
0,10000,1.6,0.45,0,-1.12672,2.0919
0,10000,1.6,0.475,0,-1.10258,1.6319
0,10000,1.6,0.5,0,-1.07382,1.3145
0,10000,1.7,0.0,0,-1.52628,165.3894
0,10000,1.7,0.025,0,-2.18476,318.9746
0,10000,1.7,0.05,0,-1.85686,84.8369
0,10000,1.7,0.075,0,-1.66522,35.3979
0,10000,1.7,0.1,0,-1.6127,24.0233
0,10000,1.7,0.125,0,-1.57041,26.0773
0,10000,1.7,0.15,0,-1.43824,11.7381
0,10000,1.7,0.175,0,-1.43511,13.6895
0,10000,1.7,0.2,0,-1.33978,7.0644
0,10000,1.7,0.225,0,-1.34827,7.872
0,10000,1.7,0.25,0,-1.29891,5.5047
0,10000,1.7,0.275,0,-1.24747,3.8248
0,10000,1.7,0.3,0,-1.24559,3.7373
0,10000,1.7,0.325,0,-1.22816,3.9178
0,10000,1.7,0.35,0,-1.20659,3.294
0,10000,1.7,0.375,0,-1.15232,2.379
