Long,Lat
-115.2654,36.2333
-97.7522,30.3005
-115.2654,36.2333
-122.3244,47.6211
-97.7522,30.3005
-118.4068,34.1141
-104.8758,39.762
-79.9763,40.4397
-115.37585597958159,36.08852501428669
-79.9763,40.4397
-90.2451,38.6359
-122.4449,37.7558
-115.2654,36.2333
-97.7522,30.3005
-122.4449,37.7558
-104.8758,39.762
-104.98298867095859,39.7610227952022
-77.0163,38.9047
-122.65,45.5371
-121.4685,38.5677
-73.9496,40.6501
-97.7522,30.3005
-118.4068,34.1141
-80.2101,25.784
-118.43302187214957,33.988364536967595
-118.4068,34.1141
-95.3885,29.786
-121.91703923676877,37.88066250298576
-118.43302187214957,33.988364536967595
-90.2451,38.6359
-97.7522,30.3005
-73.83576695364097,40.97513291342494
-95.3885,29.786
-79.9763,40.4397
-80.2101,25.784
-95.3885,29.786
-115.37585597958159,36.08852501428669
-95.3885,29.786
-121.4685,38.5677
-115.2654,36.2333
-80.2101,25.784
-115.2654,36.2333
-115.37585597958159,36.08852501428669
-96.7667,32.7935
-80.01987902337522,40.19082258968947
-97.7522,30.3005
-115.16589715480157,35.97903442898806
-90.2451,38.6359
-97.7522,30.3005
-77.0163,38.9047
-96.7667,32.7935
-112.0892,33.5722
-90.2842988063705,38.58819039712704
-73.9496,40.6501
-122.4449,37.7558
-96.55799909737182,32.25617188095023
-90.2451,38.6359
-73.9496,40.6501
-115.2654,36.2333
-104.98298867095859,39.7610227952022
-117.76606089778042,35.72331518480756
-73.9496,40.6501
-96.7667,32.7935
-115.2654,36.2333
-121.91703923676877,37.88066250298576
-115.81224246381967,39.704263601130265
-77.0163,38.9047
-112.0892,33.5722
-96.82664074439661,32.71107608649268
-90.2451,38.6359
-77.0163,38.9047
-73.83576695364097,40.97513291342494
-104.98298867095859,39.7610227952022
-117.76606089778042,35.72331518480756
-97.7522,30.3005
-122.4449,37.7558
-115.2654,36.2333
-97.08319241068402,34.481414389067155
-121.4685,38.5677
-97.7522,30.3005
-118.4068,34.1141
-104.98298867095859,39.7610227952022
-121.91703923676877,37.88066250298576
-115.2654,36.2333
-122.3244,47.6211
-122.3244,47.6211
-94.5541,39.1238
-118.43302187214957,33.988364536967595
-122.4449,37.7558
-73.83576695364097,40.97513291342494
-122.051011008723,38.034141919033246
-122.4449,37.7558
-73.9496,40.6501
-115.2654,36.2333
-122.051011008723,38.034141919033246
-104.98298867095859,39.7610227952022
-118.4068,34.1141
-122.4449,37.7558
-122.4449,37.7558
-115.2654,36.2333
-115.81224246381967,39.704263601130265
-121.91703923676877,37.88066250298576
-122.65,45.5371
-104.98298867095859,39.7610227952022
-115.29803480691811,36.158773838267734
-115.37585597958159,36.08852501428669
-117.117764390599,35.46363103586088
-122.4449,37.7558
-118.41646188300207,34.035835495508145
-122.4449,37.7558
