1	1
1	1
1	1
1	1
1	1
3	5
1	1
5	11
7	19
9	29
1	1
1	1
3	5
13	47
1	1
1	1
3	5
1	1
1	1
1	1
3	5
1	1
5	11
7	19
11	35
1	1
1	1
1	1
1	1
1	1
1	1
1	1
3	5
1	1
1	1
3	5
7	17
9	27
11	39
13	53
15	69
17	87
1	1
1	1
3	5
1	1
5	11
23	121
1	1
25	147
1	1
1	1
1	1
3	5
5	11
1	1
1	1
1	1
3	5
1	1
1	1
3	5
1	1
1	1
1	1
1	1
3	5
1	1
5	11
1	1
1	1
3	5
9	25
11	37
1	1
1	1
3	5
15	57
17	75
1	1
1	1
3	5
1	1
1	1
1	1
1	1
3	5
1	1
1	1
1	1
1	1
1	1
1	1
3	5
1	1
1	1
3	5
7	17
9	27
11	39
13	53
1	1
15	69
1	1
17	87
19	107
23	135
1	1
25	161
27	189
1	1
1	1
3	5
1	1
1	1
3	5
1	1
1	1
1	1
3	5
1	1
1	1
1	1
3	5
5	11
9	25
1	1
1	1
3	5
1	1
1	1
1	1
3	5
1	1
1	1
3	5
1	1
5	11
1	1
1	1
1	1
1	1
1	1
1	1
1	1
3	5
5	11
7	19
1	1
1	1
3	5
1	1
1	1
1	1
3	5
5	11
1	1
7	19
11	35
1	1
13	49
1	1
1	1
3	5
1	1
1	1
3	5
7	17
1	1
1	1
1	1
1	1
1	1
1	1
1	1
3	5
1	1
5	11
7	19
9	29
11	41
13	55
15	71
23	111
1	1
25	137
1	1
1	1
1	1
1	1
3	5
5	11
1	1
7	19
9	29
1	1
1	1
3	5
1	1
5	11
15	55
41	233
55	337
63	419
65	485
67	553
69	623
75	709
79	793
1	1
1	1
1	1
1	1
3	5
5	11
1	1
1	1
1	1
3	5
5	11
11	33
1	1
1	1
3	5
15	53
17	71
97	961
99	1061
1	1
1	1
1	1
3	5
1	1
1	1
1	1
3	5
1	1
1	1
1	1
1	1
3	5
1	1
1	1
3	5
7	17
9	27
11	39
1	1
1	1
3	5
1	1
1	1
1	1
1	1
3	5
5	11
1	1
1	1
3	5
9	25
1	1
1	1
3	5
1	1
5	11
15	51
17	69
21	95
33	167
37	209
39	249
1	1
1	1
1	1
3	5
5	11
1	1
7	19
1	1
1	1
3	5
11	35
51	335
55	395
57	453
157	1671
161	1837
1	1
163	2001
173	2199
175	2375
179	2559
183	2747
211	3147
213	3361
217	3583
235	3893
239	4137
243	4385
245	4631
251	4893
1	1
1	1
3	5
1	1
1	1
3	5
1	1
1	1
3	5
7	17
1	1
9	27
1	1
1	1
1	1
3	5
1	1
1	1
1	1
1	1
1	1
1	1
3	5
5	11
7	19
1	1
1	1
1	1
3	5
1	1
5	11
7	19
1	1
1	1
3	5
1	1
1	1
3	5
7	17
1	1
9	27
1	1
1	1
3	5
13	45
21	85
1	1
23	109
1	1
1	1
3	5
1	1
1	1
3	5
7	17
1	1
1	1
3	5
11	33
35	177
43	239
45	285
1	1
47	333
1	1
1	1
3	5
1	1
1	1
1	1
3	5
1	1
1	1
1	1
3	5
1	1
1	1
1	1
1	1
3	5
5	11
1	1
7	19
1	1
9	29
11	41
1	1
1	1
1	1
3	5
5	11
17	69
1	1
