patent_id,date,filing_date,country,longitude,latitude,cpc,type,title,assignee,person,first,second,inventors,loc,cites,birth,death
1433871,1922-10-31,1919-01-27,USA,-118.245453,34.053577,,utility,Apparatus for pumping oil wells ,Said Burks,,,FORD W. HARRIS,"['Foro W. Harris','FORD W. HARRIS','Dana Bourxs','HUGH A. BARDEEN','DANA BURKS']",,,1919,1939
1439560,1922-12-19,1921-06-18,USA,-97.076553,32.81731,,utility,Method for cleaning and treating oil and gas wells ,Robert E Lee,,,Roperr E. Les,"['Roperr E. Les','ROBERT E. LEE']",,,1921,1939
1450658,1923-04-03,1921-12-06,USA,-118.245453,34.053577,,utility,Oil-well heater ,Warnick Oil Heater Syndicate,,,MICHAEL WARNICK,"['Micwar, Warnick','MICHAEL WARNICK']",,,1921,1940
1457479,1923-06-05,1920-01-12,USA,-118.245453,34.053577,,utility,Method of increasing the yield of oil wells ,Edson R Wolcott,,,EDSON R. WOLCOTT,"['EDSON R. WOLCOTT','Epson R. Wotcort']",,,1920,1940
1462288,1923-07-17,1919-04-10,USA,-73.831261,40.936131,,utility,Process and apparatus for extracting hydrocarbons from oil wells and oil-bearing strata ,"Knox, Arthur Robins Speer",,,ARTHUR ROBINS SPEER,"['Wiz1am Joun Knox','ARTHUR ROBINS SPEER','WILLIAM JOHN KNOX']",,,1919,1940
1491138,1924-04-22,1921-04-18,USA,-74.007141,40.71455,,utility,Method of stripping oil sands ,Hiram W Hixon,,,HIRAM W. HIXON,"['HIRAM W. HIXON','Hiram W. Hrxon']",,,1921,1941
1494735,1924-05-20,1922-01-18,USA,-119.699051,34.419392,,utility,Winning ammonium gas ,Cooper Augustus Steiger,,,AUGUSTUS STEIGER COOPER,"['AUGUSTUS STEIGER COOPER','Aueustus 8. Coorzr']",,,1922,1941
1510655,1924-10-07,1922-11-21,USA,-121.27552,38.130177,,utility,Process of subterranean distillation of volatile mineral substances ,Clark Cornelius,,,CORNELIUS CLARK,"['CORNELIUS CLARK','Cornerzus Ciarx']",,,1922,1941
1511067,1924-10-07,1922-10-14,USA,-72.924316,41.30801,,utility,Process of and apparatus for extracting oil from oil-bearing strata ,Russell William Low,,,WILLIAM LOW RUSSELL,"['WILLIAM LOW RUSSELL','Wu11am Low Rus- SELL']",,,1922,1941
1520052,1924-12-23,1920-11-15,USA,-80.090477,42.137184,,utility,Method of operating oil wells and treating the products therefrom and apparatus therefor ,Conrader Rudolph,,,RupotpH Conraper,"['RupotpH Conraper','RUDOLPH CONRADER']",,,1920,1941
1610991,1926-12-14,1925-01-02,USA,-78.650475,41.955864,,utility,Compressor ,William T Bailey,,,WILLIAM T. BAILEY,['WILLIAM T. BAILEY'],,,1925,1943
1651311,1927-11-29,1926-04-14,USA,-81.638962,38.350159,,utility,Recovery of petroleum from oil-bearing sands ,"Atkinson Howard, Francis K Holmestead, John B Adams",,,HOWARD ATKINSON,['HOWARD ATKINSON'],,,1926,1944
1688586,1928-10-23,1927-12-29,USA,-95.99353,36.150116,,utility,Apparatus for supplying artificial pressure to oil sand ,"James O Lewis, Homer R Pierce",,,JAMES 0. LEWIS,"['JAMES 0. LEWIS','HOMER R. PIERCH']",,,1927,1945
1697260,1929-01-01,1927-03-07,USA,-85.278458,40.554291,,utility,Method and means for recovering oil ,Bruce M Cloud,,,BRUCE M. CLOUD,['BRUCE M. CLOUD'],,,1927,1946
1700336,1929-01-29,1923-05-26,USA,-87.632446,41.884251,,utility,Measuring device for oil wells ,Casper L Redfield,,,CASPER L. REDFIELD,['CASPER L. REDFIELD'],,,1923,1946
1721010,1929-07-16,1926-08-02,USA,-95.99353,36.150116,,utility,Oil-recovery and gasoline-extraction apparatus ,Dunn & Lewis,,,LESLIE C. MINGUS,"['LESLIE C. MINGUS','IRWIN L. DUNN','JAMES 0. LEWIS']",,,1926,1946
1735481,1929-11-12,1927-09-17,USA,-122.270538,37.869881,,utility,Flooding method for recovering oil ,Standard Oil Dev Co,,,LESTER C. UREN,['LESTER C. UREN'],,,1927,1946
1778740,1930-10-21,1924-05-07,USA,-78.167656,42.066692,,utility,Oil-well flooding apparatus ,Nelson E Wightman,,,NELSON E. WIGHTMAN,['NELSON E. WIGHTMAN'],,,1924,1947
1784214,1930-12-09,1928-10-19,USA,-96.795113,32.778229,,utility,Method of recovering and increasing the production of oil ,Paul E Workman,,,PAUL E. WORKMAN,['PAUL E. WORKMAN'],,,1928,1947
