patent_id,date,filing_date,country,longitude,latitude,cpc,type,title,assignee,person,first,second,inventors,loc,cites,birth,death
10116913,2018-10-30,2016-07-09,US,-121.890594,37.336166,"H04N13/10,H04N21/2343,H04N13/194,H04N13/111,H04N13/243,G03H1/0476,H04N13/246,G03H1/0443,G06T17/20,G06T2200/04,G06F3/04815,G06T2200/24,G06T19/006,H04N21/23,H04N13/275,G16B25/00,G06F3/011,G06T15/005,G03H2001/0452,G06T1/20",utility,3D virtual reality model sharing and monetization electronic platform system,"DoubleMe, Inc.",fl:he_ln:kim-286,Heekwan,Kim,[],13f05eea-16c8-11ed-9b5f-1234bde3cd05,,2016-07-09,0-0-0
10115230,2018-10-30,2016-08-09,US,-122.029465,36.974369,"G06F9/45516,G06T1/20,G06T15/80,G06T15/005",utility,Run-time optimized shader programs,Apple Inc.,fl:jo_ln:rosasco-1,John D.,Rosasco,[],10f75bbf-16c8-11ed-9b5f-1234bde3cd05,"5630157,7750913,7692660,6427234,7015909,7324106,7324106",2016-08-09,0-0-0
10115223,2018-10-30,2017-04-01,US,-121.176056,38.677956,"G09G2352/00,G09G2360/122,H04N19/42,H04N19/17,G09G2350/00,G06T2210/52,G09G2360/08,G09G2360/121,G06T1/20,G09G5/393,G06T15/005,G09G5/363,G09G2370/10",utility,Graphics apparatus including a parallelized macro-pipeline,Intel Corporation,fl:ja_ln:tanner-15,Jason,Tanner,[],c6c5ce18-16c7-11ed-9b5f-1234bde3cd05,"7075541,6065027",2017-04-01,0-0-0
10115215,2018-10-30,2015-04-17,US,-105.131927,39.977768,"G06F40/109,G06K9/627,G06T11/60,G06T1/20,G06N20/00,G06K9/6267,G06V30/245,G06K9/6215",utility,Pairing fonts for presentation,Monotype Imaging Inc.,fl:st_ln:matteson-1,Steve,Matteson,[],caa2f1b4-16c7-11ed-9b5f-1234bde3cd05,"5761395,6657625,4244657,6012071,6044205,5416898,6522347,6141002,7987244,9432671,6907444,5528742,5533174,5526477,5748975,6687879,6512531,7373140,7937658,7958448,6111654,6678688,6738526,6330577,5940581,6313920,9063682,6426751,6167441,8116791,9319444,8464318,8644810,6583789,5606649,6252671,7944447,6810504,6813747,6901427,7836094,5263132,6016142,5877776,6760029,9317777,8601374,6771267,8643542,6249908,5781714,6073147,7580038,6343301,5630028,7050079,7231602,7636885,7346845,6704116,5619721,7188313,7155672,9569865,6065008,8201088,6522330,8306356,7064757,6856317,7064758,5757384,4998210,5926189,6320587,6993538,6853980,9626337,6282327,6882344,7184046,8201093,7701458,5995718,7492365,6490051,7228501,6601009,8643652,8098250,5412771,7882432,7505040,6952210,6754875,7539939,5737599,8731905,6323864,6718519,7552008,7752222,6704648,6031549,6992671,7477988,5586242,8689101,7583397,8381115,5453938,7768513,5444829,6675358,5347266,9483445,8413051,9691169,5444829,6675358,5347266,9483445,8413051,9691169",2015-04-17,0-0-0
10115176,2018-10-30,2016-04-28,CN,121.469208,31.232279,"G06T1/20,G06T15/005,G06F3/0604,G06F3/0673,G06F3/0659",utility,Methods for checking dependencies of data units and apparatuses using the same,"VIA ALLIANCE SEMICONDUCTOR CO., LTD.",fl:he_ln:xiao-4,Heng,Xiao,[],35a7da9f-16c8-11ed-9b5f-1234bde3cd05,,2016-04-28,0-0-0
10115175,2018-10-30,2016-02-19,US,-71.156433,42.415375,"G06T1/20,G06T5/008,G06F9/3887,G06F9/3851,G06F9/30072",utility,Uniform predicates in shaders for graphics processing units,QUALCOMM Incorporated,fl:an_ln:gruber-3,Andrew Evan,Gruber,[],05dc2e20-16c8-11ed-9b5f-1234bde3cd05,"9015656,8615770,8615646",2016-02-19,0-0-0
10115174,2018-10-30,2013-09-24,CA,-75.690056,45.421143,"G06F9/4856,G06F9/452,G06T1/20",utility,System and method for forwarding an application user interface,2236008 Ontario Inc.,fl:da_ln:dodge-8,Danny Thomas,Dodge,[],1ab02271-16c8-11ed-9b5f-1234bde3cd05,"9106649,8115773,9061207,8495625,8922569,6687762",2013-09-24,0-0-0
10115177,2018-10-30,2017-08-14,US,-122.083206,37.389389,"G06T1/20,G06T11/40,G06T1/60",utility,Online texture compression and decompression in hardware,"Samsung Electronics Co., Ltd.",fl:ab_ln:golas-1,Abhinav,Golas,[],a26e2a3b-16c8-11ed-9b5f-1234bde3cd05,"8660347,7750938,8533166,7576888,6243416,8659793,8452083,7202912,8509532,7321693,9378560,8553301,7236636,5539468,6668086,6137914,8478057,6819793,6819793",2017-08-14,0-0-0
10120433,2018-11-06,2016-02-11,IL,34.740376,31.833075,"G06T15/005,G06F1/3265,G06T1/00,G06T1/60,G09G5/393,G09G2360/08,G06T1/20,G09G3/2088,G09G5/363",utility,Apparatus and method for power management of a computing system,GOOGLE LLC,fl:re_ln:bakalash-1,Reuven,Bakalash,[],50d84804-16c8-11ed-9b5f-1234bde3cd05,"7466316,8016677,8334874,7788516,7721118,7254639,7528836,6938176,6578068,6473086,7426597,7370100,7370100",2016-02-11,0-0-0
10120705,2018-11-06,2016-06-30,CN,121.469208,31.232279,"G06F2009/45579,G06F9/45558,G06F2009/45595,G06T1/20,G06T2200/28,G06F9/4411,G06F9/45537",utility,"Method for implementing GPU virtualization and related apparatus, and system","HUAWEI TECHNOLOGIES CO., LTD.",fl:we_ln:han-66,Weidong,Han,[],35a7da9f-16c8-11ed-9b5f-1234bde3cd05,8274518,2016-06-30,0-0-0
