scale,ncc,meanpat,stdpat,nlinks,fclust,rep
0.010000,1300,8.833846,34.280033,1318,0.994644,98
0.010000,1300,8.833846,34.271141,1318,0.994644,99
0.012041,1296,8.861111,34.338715,1326,0.991584,0
0.012041,1296,8.861111,34.314518,1326,0.991584,1
0.012041,1296,8.861111,34.324127,1326,0.991584,2
0.012041,1296,8.861111,34.314030,1326,0.991584,3
0.012041,1296,8.861111,34.315617,1326,0.991584,4
0.012041,1296,8.861111,34.313812,1326,0.991584,5
0.012041,1296,8.861111,34.353146,1326,0.991584,6
0.012041,1296,8.861111,34.320801,1326,0.991584,7
0.012041,1296,8.861111,34.330166,1326,0.991584,8
0.012041,1296,8.861111,34.317039,1326,0.991584,9
0.012041,1296,8.861111,34.357487,1326,0.991584,10
0.012041,1296,8.861111,34.323627,1326,0.991584,11
0.012041,1296,8.861111,34.315506,1326,0.991584,12
0.012041,1296,8.861111,34.355804,1326,0.991584,13
0.012041,1296,8.861111,34.315651,1326,0.991584,14
0.012041,1296,8.861111,34.314835,1326,0.991584,15
0.012041,1296,8.861111,34.316036,1326,0.991584,16
0.012041,1296,8.861111,34.323601,1326,0.991584,17
0.012041,1296,8.861111,34.315418,1326,0.991584,18
0.012041,1296,8.861111,34.358707,1326,0.991584,19
0.012041,1296,8.861111,34.333710,1326,0.991584,20
0.012041,1296,8.861111,34.335255,1326,0.991584,21
0.012041,1296,8.861111,34.321545,1326,0.991584,22
0.012041,1296,8.861111,34.322941,1326,0.991584,23
0.012041,1296,8.861111,34.316452,1326,0.991584,24
0.012041,1296,8.861111,34.316559,1326,0.991584,25
0.012041,1296,8.861111,34.320282,1326,0.991584,26
0.012041,1296,8.861111,34.353802,1326,0.991584,27
0.012041,1296,8.861111,34.315529,1326,0.991584,28
0.012041,1296,8.861111,34.316513,1326,0.991584,29
0.012041,1296,8.861111,34.323132,1326,0.991584,30
0.012041,1296,8.861111,34.313526,1326,0.991584,31
0.012041,1296,8.861111,34.323017,1326,0.991584,32
0.012041,1296,8.861111,34.350811,1326,0.991584,33
0.012041,1296,8.861111,34.315907,1326,0.991584,34
0.012041,1296,8.861111,34.314281,1326,0.991584,35
0.012041,1296,8.861111,34.315319,1326,0.991584,36
0.012041,1296,8.861111,34.320229,1326,0.991584,37
0.012041,1296,8.861111,34.314945,1326,0.991584,38
0.012041,1296,8.861111,34.314392,1326,0.991584,39
0.012041,1296,8.861111,34.315182,1326,0.991584,40
0.012041,1296,8.861111,34.318237,1326,0.991584,41
0.012041,1296,8.861111,34.316162,1326,0.991584,42
0.012041,1296,8.861111,34.345398,1326,0.991584,43
0.012041,1296,8.861111,34.323689,1326,0.991584,44
0.012041,1296,8.861111,34.327587,1326,0.991584,45
0.012041,1296,8.861111,34.317516,1326,0.991584,46
0.012041,1296,8.861111,34.394962,1326,0.991584,47
0.012041,1296,8.861111,34.313927,1326,0.991584,48
0.012041,1296,8.861111,34.320965,1326,0.991584,49
0.012041,1296,8.861111,34.316666,1326,0.991584,50
0.012041,1296,8.861111,34.313957,1326,0.991584,51
0.012041,1296,8.861111,34.332664,1326,0.991584,52
0.012041,1296,8.861111,34.328590,1326,0.991584,53
0.012041,1296,8.861111,34.465946,1326,0.991584,54
0.012041,1296,8.861111,34.321468,1326,0.991584,55
0.012041,1296,8.861111,34.315868,1326,0.991584,56
0.012041,1296,8.861111,34.314320,1326,0.991584,57
0.012041,1296,8.861111,34.318344,1326,0.991584,58
0.012041,1296,8.861111,34.316036,1326,0.991584,59
0.012041,1296,8.861111,34.349312,1326,0.991584,60
0.012041,1296,8.861111,34.434498,1326,0.991584,61
0.012041,1296,8.861111,34.320087,1326,0.991584,62
0.012041,1296,8.861111,34.315540,1326,0.991584,63
0.012041,1296,8.861111,34.316257,1326,0.991584,64
0.012041,1296,8.861111,34.342117,1326,0.991584,65
0.012041,1296,8.861111,34.315811,1326,0.991584,66
0.012041,1296,8.861111,34.320316,1326,0.991584,67
0.012041,1296,8.861111,34.315907,1326,0.991584,68
0.012041,1296,8.861111,34.317787,1326,0.991584,69
0.012041,1296,8.861111,34.313793,1326,0.991584,70
0.012041,1296,8.861111,34.321495,1326,0.991584,71
0.012041,1296,8.861111,34.328716,1326,0.991584,72
0.012041,1296,8.861111,34.322166,1326,0.991584,73
0.012041,1296,8.861111,34.425606,1326,0.991584,74
0.012041,1296,8.861111,34.313011,1326,0.991584,75
0.012041,1296,8.861111,34.315945,1326,0.991584,76
0.012041,1296,8.861111,34.316925,1326,0.991584,77
0.012041,1296,8.861111,34.320133,1326,0.991584,78
0.012041,1296,8.861111,34.317802,1326,0.991584,79
0.012041,1296,8.861111,34.352726,1326,0.991584,80
0.012041,1296,8.861111,34.316349,1326,0.991584,81
0.012041,1296,8.861111,34.315193,1326,0.991584,82
0.012041,1296,8.861111,34.318939,1326,0.991584,83
0.012041,1296,8.861111,34.320152,1326,0.991584,84
0.012041,1296,8.861111,34.473114,1326,0.991584,85
0.012041,1296,8.861111,34.316170,1326,0.991584,86
0.012041,1296,8.861111,34.335594,1326,0.991584,87
0.012041,1296,8.861111,34.317001,1326,0.991584,88
0.012041,1296,8.861111,34.327789,1326,0.991584,89
0.012041,1296,8.861111,34.318077,1326,0.991584,90
0.012041,1296,8.861111,34.314468,1326,0.991584,91
0.012041,1296,8.861111,34.317978,1326,0.991584,92
0.012041,1296,8.861111,34.318008,1326,0.991584,93
0.012041,1296,8.861111,34.319881,1326,0.991584,94
0.012041,1296,8.861111,34.314728,1326,0.991584,95
0.012041,1296,8.861111,34.314465,1326,0.991584,96
0.012041,1296,8.861111,34.341057,1326,0.991584,97
0.012041,1296,8.861111,34.333149,1326,0.991584,98
0.012041,1296,8.861111,34.320946,1326,0.991584,99
0.014497,1293,8.881671,34.376820,1332,0.989288,0
0.014497,1293,8.881671,34.353256,1332,0.989288,1
0.014497,1293,8.881671,34.361885,1332,0.989288,2
0.014497,1293,8.881671,34.352341,1332,0.989288,3
0.014497,1293,8.881671,34.356510,1332,0.989288,4
0.014497,1293,8.881671,34.351261,1332,0.989288,5
0.014497,1293,8.881671,34.391548,1332,0.989288,6
0.014497,1293,8.881671,34.360382,1332,0.989288,7
0.014497,1293,8.881671,34.367821,1332,0.989288,8
0.014497,1293,8.881671,34.354439,1332,0.989288,9
0.014497,1293,8.881671,34.395466,1332,0.989288,10
0.014497,1293,8.881671,34.361286,1332,0.989288,11
0.014497,1293,8.881671,34.353329,1332,0.989288,12
0.014497,1293,8.881671,34.397411,1332,0.989288,13
0.014497,1293,8.881671,34.353298,1332,0.989288,14
0.014497,1293,8.881671,34.352444,1332,0.989288,15
0.014497,1293,8.881671,34.353287,1332,0.989288,16
