latitude;longitude;population
32,6871;-97,0208;197279
38,887;-94,687;196676
33,2016;-96,667;196160
31,5599;-97,1882;195709
39,6401;-77,7217;195261
34,1819;-118,2468;194512
43,5844;-116,5638;193935
33,7843;-112,2989;191292
41,9662;-91,6783;191104
45,6366;-122,5967;190700
36,0872;-115,1355;189733
29,178;-82,1511;186840
42,1167;-80,0733;185556
37,1051;-76,5185;185118
39,4337;-77,4141;184991
35,849;-86,4121;184763
26,1412;-80,1464;182673
41,7638;-88,2902;181405
33,3881;-111,9319;181005
41,4015;-73,4709;180143
28,4798;-82,53;178833
35,2494;-81,1854;178220
36,6883;-121,6317;177410
38,2992;-77,4872;176791
34,0393;-117,6064;176326
38,4161;-121,3842;176105
34,2902;-83,8294;175569
35,7819;-78,8195;174880
34,1247;-117,5667;174696
33,2247;-117,3083;173722
33,7787;-117,9601;171637
34,6935;-118,1753;171465
33,7341;-116,9969;170621
26,0128;-80,3382;170472
30,1995;-85,6003;169810
38,1125;-122,2342;169541
42,9848;-71,4447;169097
42,3372;-122,854;168959
18,3794;-66,1635;168698
34,7821;-82,3032;168313
36,9789;-122,0346;167835
34,5944;-118,1057;166895
41,5495;-72,0882;166885
43,2281;-86,2562;166847
28,7672;-81,8962;166200
35,991;-79,9937;164836
33,2348;-87,5268;164414
36,3276;-119,3269;163681
48,0809;-122,1561;162664
37,3057;-120,4779;160638
37,6328;-122,0766;160602
40,3991;-86,8593;160543
39,7709;-89,654;159671
33,8616;-117,5649;158346
40,9147;-74,1624;157864
38,8185;-77,0861;157594
32,8065;-83,6974;156554
42,1014;-75,9093;156375
39,6977;-105,1172;156149
39,1235;-94,7443;155438
31,8801;-102,3448;155039
37,3836;-122,0255;154573
41,6697;-70,9428;153701
26,0293;-80,1679;152764
42,4614;-83,6526;152132
33,1348;-117,0723;151114
30,201;-93,2111;151109
29,6575;-95,1498;150620
47,5951;-122,1535;150606
41,5188;-88,1499;150221
40,1142;-88,2737;150179
34,0585;-117,7626;149831
38,2583;-122,0335;149635
32,7602;-96,5865;149439
41,6916;-85,9627;149423
41,748;-88,1659;149089
37,0758;-113,5752;148895
38,7703;-121,3196;148879
39,0346;-95,6955;148185
36,076;-79,4685;147415
32,5961;-83,6527;146790
33,6815;-112,4515;145591
33,8346;-118,3416;145454
34,9333;-120,4431;143647
33,9508;-83,3689;143173
29,58;-90,7059;143160
